"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","response","id_correct"
"138","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",60,"id","Hindi","hindi","audio","female","muslim",0
"139","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",61,"id","English (India)","english","audio","female","english",1
"140","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",62,"id","English (U.S.)","english","audio","female","english",1
"141","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",63,"id","Marathi","marathi","audio","female","christian",0
"142","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",64,"id","Mandarin","chinese","audio","female","christian",0
"143","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",65,"id","Tamil","tamil","audio","female","christian",0
"144","india-socioling","zenith","Z03C20",3,3,8.4,-2.20521797115945,"male","muslim","urdu","urdu","hindi urdu",66,"id","Gujarati","gujarati","audio","female","muslim",0
"145","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",55,"id","Marathi","marathi","audio","female","bengali",0
"146","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",56,"id","English (U.S.)","english","audio","female","english",1
"147","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",57,"id","Hindi","hindi","audio","female","urdu",0
"148","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"149","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",59,"id","English (India)","english","audio","female","english",1
"150","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",60,"id","Mandarin","chinese","audio","female","chinese",1
"151","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",61,"id","Tamil","tamil","audio","female","urdu",0
"152","india-socioling","zenith","Z03C43",3,3,8,-2.60521797115945,"female","muslim","hindi","hindi","hindi",62,"id","Urdu","urdu","audio","female","hindi",0
"153","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",55,"id","Marathi","marathi","audio","female","marathi",1
"154","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",56,"id","English (U.S.)","english","audio","female","english",1
"155","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",57,"id","Hindi","hindi","audio","female","hindi",1
"156","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",58,"id","Gujarati","gujarati","audio","female","gujarati",1
"157","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",59,"id","English (India)","english","audio","female","english",1
"158","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",60,"id","Mandarin","chinese","audio","female","chinese",1
"159","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",61,"id","Tamil","tamil","audio","female","marathi",0
"160","india-socioling","zenith","Z03C44",3,3,8.7,-1.90521797115946,"female","hindu","hindi","hindi","hindi gujarati",62,"id","Urdu","urdu","audio","female","hindi",0
"161","india-socioling","zenith","Z03C46",3,3,7.8,-2.80521797115945,"female","muslim","hindi","hindi","hindi",55,"id","Marathi","marathi","audio","female","marathi",1
"162","india-socioling","zenith","Z03C46",3,3,7.8,-2.80521797115945,"female","muslim","hindi","hindi","hindi",56,"id","English (U.S.)","english","audio","female","english",1
"163","india-socioling","zenith","Z03C46",3,3,7.8,-2.80521797115945,"female","muslim","hindi","hindi","hindi",57,"id","Hindi","hindi","audio","female","hindi",1
